ID	COUNTRY	URL	WISHLIST	LOG_CHANNEL
18	DE	https://www.amazon.de	https://www.amazon.de/hz/wishlist/genericItemsPage/U0AKBA9U28JF	-1001160642410
19	DE	https://www.amazon.de	https://www.amazon.de/hz/wishlist/genericItemsPage/34MWB802RUJ62	-1001160642410
20	DE	https://www.amazon.de	https://www.amazon.de/hz/wishlist/genericItemsPage/1C4BRA7684LVL	-1001160642410
21	DE	https://www.amazon.de	https://www.amazon.de/hz/wishlist/genericItemsPage/D61V61U21DDU	-1001160642410
22	DE	https://www.amazon.de	https://www.amazon.de/hz/wishlist/genericItemsPage/2BHU3J8OIGDJV	-1001160642410
23	DE	https://www.amazon.de	https://www.amazon.de/hz/wishlist/genericItemsPage/1KW1POUIMGY46	-1001160642410
24	DE	https://www.amazon.de	https://www.amazon.de/hz/wishlist/genericItemsPage/31521UEHNBZY3	-1001160642410
25	DE	https://www.amazon.de	https://www.amazon.de/hz/wishlist/genericItemsPage/17QWCWZHA2WFV	-1001160642410
26	DE	https://www.amazon.de	https://www.amazon.de/hz/wishlist/genericItemsPage/2QV7N926W9TZ3	-1001160642410
27	DE	https://www.amazon.de	https://www.amazon.de/hz/wishlist/genericItemsPage/BRR5IZ4PEIK7	-1001160642410
28	DE	https://www.amazon.de	https://www.amazon.de/hz/wishlist/genericItemsPage/J22UQRGY7JJ5	-1001160642410
29	IT	https://www.amazon.it	https://www.amazon.it/hz/wishlist/genericItemsPage/2N2HXCHFIK5A8	-1001351973359
30	IT	https://www.amazon.it	https://www.amazon.it/hz/wishlist/genericItemsPage/IG35P9UHNO2J	-1001351973359
31	IT	https://www.amazon.it	https://www.amazon.it/hz/wishlist/genericItemsPage/1FRUD2XJQNCMY	-1001351973359
32	IT	https://www.amazon.it	https://www.amazon.it/hz/wishlist/genericItemsPage/1VZKZS5GUBQEF	-1001351973359
33	IT	https://www.amazon.it	https://www.amazon.it/hz/wishlist/genericItemsPage/3PW42YLQGDXLO	-1001351973359
34	IT	https://www.amazon.it	https://www.amazon.it/hz/wishlist/genericItemsPage/385SEVI07T9Y	-1001351973359
35	IT	https://www.amazon.it	https://www.amazon.it/hz/wishlist/genericItemsPage/9ZJSJZHR5D77	-1001351973359
36	IT	https://www.amazon.it	https://www.amazon.it/hz/wishlist/genericItemsPage/CD4NTROG6JKL	-1001351973359
37	IT	https://www.amazon.it	https://www.amazon.it/hz/wishlist/genericItemsPage/17F7UEHSF5JZ6	-1001351973359
38	IT	https://www.amazon.it	https://www.amazon.it/hz/wishlist/genericItemsPage/3JYIAP0G8PXIZ	-1001351973359
39	FR	https://www.amazon.fr	https://www.amazon.fr/hz/wishlist/genericItemsPage/QWMPMRVC6R62	-1001280154091
40	FR	https://www.amazon.fr	https://www.amazon.fr/hz/wishlist/genericItemsPage/17H8D4VOEZTKZ	-1001280154091
41	FR	https://www.amazon.fr	https://www.amazon.fr/hz/wishlist/genericItemsPage/3RR26GDCVWXXP	-1001280154091
42	FR	https://www.amazon.fr	https://www.amazon.fr/hz/wishlist/genericItemsPage/19BB6TX7D28YN	-1001280154091
43	FR	https://www.amazon.fr	https://www.amazon.fr/hz/wishlist/genericItemsPage/3N2VCVI9BT95M	-1001280154091
44	FR	https://www.amazon.fr	https://www.amazon.fr/hz/wishlist/genericItemsPage/3PYEIX72LMW46	-1001280154091
45	FR	https://www.amazon.fr	https://www.amazon.fr/hz/wishlist/genericItemsPage/259Q95AV3Q7SO	-1001280154091
46	FR	https://www.amazon.fr	https://www.amazon.fr/hz/wishlist/genericItemsPage/2SQNCE7FKVL0Y	-1001280154091
47	FR	https://www.amazon.fr	https://www.amazon.fr/hz/wishlist/genericItemsPage/14DVZ9VNVQS9Q	-1001280154091
48	FR	https://www.amazon.fr	https://www.amazon.fr/hz/wishlist/genericItemsPage/3HVEND6QZNB7Y	-1001280154091
